latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-4.143,144.416,318.1,1.2,1.1,2014-08-26, 0100,T,45,5.0       ,297.8,15.4
-4.259,144.871,324.8,1.3,1.1,2014-08-26, 0100,T,78,5.0       ,296.4,30
-4.188,144.023,318.3,1.2,1.1,2014-08-26, 0100,T,26,5.0       ,296.2,12.1
-4.19,144.033,325.1,1.2,1.1,2014-08-26, 0100,T,76,5.0       ,298.8,23.7
-4.357,143.85,313.7,1.1,1.1,2014-08-26, 0100,T,59,5.0       ,295.4,11.4
-5.859,146.858,323.6,1.9,1.4,2014-08-26, 0100,T,42,5.0       ,298.3,45.8
-5.755,145.685,312.8,1.6,1.2,2014-08-26, 0100,T,56,5.0       ,293.8,22.7
-5.936,146.969,311.8,2,1.4,2014-08-26, 0100,T,35,5.0       ,293.9,25.1
-5.927,146.965,314.3,2,1.4,2014-08-26, 0100,T,22,5.0       ,295.6,28.8
-5.987,145.869,330.3,1.6,1.3,2014-08-26, 0100,T,83,5.0       ,298.2,43.4
-5.998,145.868,339,1.6,1.3,2014-08-26, 0100,T,89,5.0       ,298.5,73.7
-6.388,146.359,317.7,1.8,1.3,2014-08-26, 0100,T,68,5.0       ,296,33
-6.572,146.218,322.6,1.8,1.3,2014-08-26, 0100,T,60,5.0       ,297.6,43.8
-6.574,146.234,319.8,1.8,1.3,2014-08-26, 0100,T,47,5.0       ,296.8,34.6
-8.299,140.152,314.4,1,1,2014-08-26, 0100,T,53,5.0       ,296.9,8.5
-8.106,138.083,319.5,1.2,1.1,2014-08-26, 0100,T,71,5.0       ,294.8,19.5
-8.245,137.792,315.1,1.2,1.1,2014-08-26, 0100,T,55,5.0       ,298.5,13
-8.355,137.971,311.9,1.2,1.1,2014-08-26, 0100,T,48,5.0       ,295.2,9.6
-9.166,141.285,312.8,1,1,2014-08-26, 0100,T,33,5.0       ,295.6,8.5
-9.175,141.283,316.6,1,1,2014-08-26, 0100,T,50,5.0       ,295.9,12.9
